country_iso3,sector,ggodelta,fd,pdggo
LUX,Food,-3394,1552.0308558619997,-2.6103585603371586
LUX,Textiles,-844,384.91925146100004,-2.6081020130572146
LUX,Leather,-161,88.28983940410001,-2.607557459586614
LUX,Wood,-18,11.225502945713002,-2.5871419891706204
LUX,Paper,-685,313.15065159999995,-2.585185412794407
LUX,Fuel,-1109,563.1910260920001,-2.582021680095901
LUX,Chemicals,-1324,620.496051424,-2.572277099165817
LUX,Plastics,-428,208.38998471999997,-2.5691773854843705
LUX,Minerals,-137,79.195980325,-2.564248980930209
LUX,Metals,-448,189.64556412,-2.5545159090673737
LUX,Machinery,-340,155.32777166,-2.5453339131728936
LUX,Electricals,-419,196.22435101249997,-2.5452663470568746
LUX,Vehicles,-2669,1118.16524403,-2.543016860299858
LUX,Manufacturing,-644,325.0562490216,-2.5417334098176467
LUX,Utilities,-860,484.4650127714,-2.539659790989768
LUX,Construction,-239,139.512140308,-2.5346842581157505
LUX,Vehicle Trade,-756,526.4990921699999,-2.5293445012283855
LUX,Wholesale Trade,-3246,2071.9036451,-2.520368010347264
LUX,Retail Trade,-2610,1543.7026104,-2.5172475193946426
LUX,Hospitality,-2292,1343.4559846999998,-2.5128821551530036
LUX,Inland Transport,-727,529.7664795,-2.5056738377428966
LUX,Water Transport,-19,12.43403022,-2.5032708386074596
LUX,Air Transport,-120,82.91393257099998,-2.4969510751235044
LUX,Transport Services,-142,240.614753,-2.4876580017835432
LUX,Communications,-488,473.14689204,-2.4872229086283575
LUX,Financial Services,-1153,785.8607128736901,-2.474133289319408
LUX,Real Estate,-3796,3360.274329572,-2.47355050939698
LUX,Business Services,-363,330.00574009999997,-2.469515313683952
LUX,Public Services,-5034,3556.9261665000004,-2.4681654332867096
LUX,Education,-2393,2176.4021490000005,-2.465921176273172
LUX,Health,-4772,3410.6387910000003,-2.4651059568435145
LUX,Other Services,-1128,864.8626800000001,-2.456421192758397
LUX,Private Households,-194,194.15095846998,-2.453627313389023
SWE,Agriculture,-6818,4324.545617,-2.4528589657007247
SWE,Mining,-173,159.505582,-2.452568289017381
SWE,Food,-39226,18293.194649999998,-2.4508252060070075
SWE,Textiles,-5826,3052.311096,-2.446504538913526
SWE,Leather,-1139,564.01752351,-2.446477424502206
SWE,Wood,-1604,696.505218,-2.446191351062005
SWE,Paper,-7859,3585.53349,-2.4460959460913703
SWE,Fuel,-9819,5012.696917,-2.4372097204928305
SWE,Chemicals,-12364,6358.7133,-2.435440938387623
SWE,Plastics,-2371,1131.7646799999998,-2.43306741911007
SWE,Minerals,-1634,786.584401,-2.428708415446109
SWE,Metals,-2834,1272.5762699999998,-2.4225806781192505
SWE,Machinery,-4795,2162.8113,-2.419745872532074
SWE,Electricals,-9042,4302.64109,-2.418830821356499
SWE,Vehicles,-24082,9461.48525,-2.417370714685825
SWE,Manufacturing,-7254,3424.26352,-2.4126137122220594
SWE,Utilities,-13000,8690.65971,-2.4121619348937373
SWE,Construction,-594,328.19503,-2.409012409300078
SWE,Vehicle Trade,-6192,3665.1211679999997,-2.406639532744122
SWE,Wholesale Trade,-20756,12863.15044,-2.406185001685355
SWE,Retail Trade,-12571,7927.82724,-2.404739748753496
SWE,Hospitality,-19234,9780.3243073,-2.4024332883120283
SWE,Inland Transport,-8341,5253.818799999999,-2.401492861776209
