country_iso3,sector,ggodelta
CAN,Agriculture,-27641
CAN,Mining,-6419
CAN,Food,-143713
CAN,Textiles,-31150
CAN,Leather,-6454
CAN,Wood,-2673
CAN,Paper,-20130
CAN,Fuel,-40838
CAN,Chemicals,-29392
CAN,Plastics,-9565
CAN,Minerals,-3816
CAN,Metals,-8635
CAN,Machinery,-16836
CAN,Electricals,-28975
CAN,Vehicles,-124291
CAN,Manufacturing,-24886
CAN,Utilities,-23474
CAN,Construction,-417
CAN,Vehicle Trade,-4783
CAN,Wholesale Trade,-49103
CAN,Retail Trade,-74280
CAN,Hospitality,-82745
CAN,Inland Transport,-34002
CAN,Water Transport,-2392
CAN,Air Transport,-15586
CAN,Transport Services,-8666
CAN,Communications,-26988
CAN,Financial Services,-145463
CAN,Real Estate,-163896
CAN,Business Services,-24748
CAN,Public Services,-335701
CAN,Education,-103776
CAN,Health,-112905
CAN,Other Services,-113646
CAN,Private Households,-1860
KOR,Agriculture,-25003
KOR,Mining,-277
KOR,Food,-98516
KOR,Textiles,-37807
KOR,Leather,-8340
KOR,Wood,-263
KOR,Paper,-9954
KOR,Fuel,-41351
KOR,Chemicals,-15999
KOR,Plastics,-3499
KOR,Minerals,-946
KOR,Metals,-4021
KOR,Machinery,-13271
KOR,Electricals,-34656
KOR,Vehicles,-35542
KOR,Manufacturing,-7970
KOR,Utilities,-34317
KOR,Construction,-33
KOR,Vehicle Trade,-11188
KOR,Wholesale Trade,-14559
KOR,Retail Trade,-84216
KOR,Hospitality,-91722
KOR,Inland Transport,-36797
KOR,Water Transport,-894
KOR,Air Transport,-4779
KOR,Transport Services,-3314
KOR,Communications,-36030
KOR,Financial Services,-59248
KOR,Real Estate,-72938
KOR,Business Services,-5645
KOR,Public Services,-128535
KOR,Education,-95950
KOR,Health,-122812
KOR,Other Services,-87658
KOR,Private Households,0
CYP,Agriculture,-808
CYP,Mining,-4
CYP,Food,-3525
CYP,Textiles,-907
CYP,Leather,-194
CYP,Wood,-76
CYP,Paper,-542
CYP,Fuel,-89
CYP,Chemicals,-878
CYP,Plastics,-222
CYP,Minerals,-209
CYP,Metals,-351
CYP,Machinery,-306
CYP,Electricals,-176
CYP,Vehicles,-1908
CYP,Manufacturing,-502
CYP,Utilities,-814
CYP,Construction,-147
CYP,Vehicle Trade,-531
CYP,Wholesale Trade,-1222
CYP,Retail Trade,-1283
CYP,Hospitality,-5116
CYP,Inland Transport,-322
CYP,Water Transport,0
CYP,Air Transport,-385
CYP,Transport Services,-270
CYP,Communications,-425
CYP,Financial Services,-1333
CYP,Real Estate,-4804
CYP,Business Services,-261
CYP,Public Services,-4505
CYP,Education,-1747
CYP,Health,-2028
CYP,Other Services,-1846
CYP,Private Households,-198
BEL,Agriculture,-8824
BEL,Mining,-221
BEL,Food,-51977
BEL,Textiles,-9894
BEL,Leather,-1583
BEL,Wood,-832
BEL,Paper,-8698
BEL,Fuel,-18943
BEL,Chemicals,-18115
BEL,Plastics,-1960
BEL,Minerals,-2058
BEL,Metals,-2464
BEL,Machinery,-5081
BEL,Electricals,-6916
BEL,Vehicles,-18766
BEL,Manufacturing,-8640
BEL,Utilities,-13672
BEL,Construction,-3232
BEL,Vehicle Trade,-13812
BEL,Wholesale Trade,-28224
BEL,Retail Trade,-17287
BEL,Hospitality,-21940
BEL,Inland Transport,-8149
BEL,Water Transport,-99
BEL,Air Transport,-1312
BEL,Transport Services,-19756
BEL,Communications,-10627
BEL,Financial Services,-34017
BEL,Real Estate,-59942
BEL,Business Services,-12564
BEL,Public Services,-59709
BEL,Education,-37397
BEL,Health,-80796
BEL,Other Services,-25054
BEL,Private Households,-756
HUN,Agriculture,-7141
HUN,Mining,-173
HUN,Food,-25617
HUN,Textiles,-3328
HUN,Leather,-1212
HUN,Wood,-106
HUN,Paper,-3048
HUN,Fuel,-7248
HUN,Chemicals,-8571
